,EmployeeID,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Education_1,Education_2,Education_3,Education_4,Education_5,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Unnamed: 0,Age,DistanceFromHome,JobLevel,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,retirado,SalaryHike
12,13,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12,55,14,1,55380,0.0,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,0,0.17
13,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,13,47,1,1,57620,1.0,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,1,0.11
14,15,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,14,28,1,1,25920,1.0,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,0,0.14
15,16,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,15,37,1,2,53460,4.0,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,0,0.11
16,17,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,16,21,3,1,42130,1.0,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,0,0.12
17,18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,17,37,1,2,41270,2.0,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,0,0.13
18,19,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,18,35,7,1,24380,7.0,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,0,0.16
19,20,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,19,38,8,1,68700,1.0,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,0,0.11
20,21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,20,26,1,2,104470,1.0,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,0,0.18
21,22,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,21,50,8,1,96670,3.0,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,0,0.23
22,23,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,22,53,11,2,21480,3.0,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,0,0.11
23,24,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,23,42,4,1,89260,1.0,0,0.0,4,20,11,6,2.0,3.0,3.0,1,3,0,0.14
24,25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24,29,16,1,65130,1.0,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,0,0.11
25,26,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,25,55,1,1,67990,3.0,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,0,0.11
26,27,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26,26,9,1,162910,1.0,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,0,0.22
27,28,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,27,37,5,1,27050,1.0,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,0,0.11
28,29,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,28,44,1,2,103330,3.0,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,1,0.14
29,30,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,29,38,2,1,44480,9.0,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,0,0.12
30,31,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,30,26,4,3,68540,2.0,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,1,0.11
31,32,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,31,28,7,1,96370,1.0,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,0,0.13
32,33,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,32,49,1,2,35910,9.0,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,0,0.13
33,34,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,33,36,5,3,54050,4.0,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,0,0.14
34,35,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,34,31,9,1,46840,1.0,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,0,0.16
35,36,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,35,26,8,2,157870,1.0,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,1,0.12
36,37,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,36,37,9,1,15140,1.0,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,0,0.14
37,38,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,37,42,2,3,29560,5.0,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,0,0.13
38,39,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,38,18,1,1,23350,1.0,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,1,0.14
39,40,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,39,35,20,1,51540,0.0,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,0,0.19
40,41,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,40,36,8,3,69620,4.0,2,4.0,2,1,0,0,3.0,2.73,3.0,2,3,0,0.12
41,42,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,41,51,2,2,56750,5.0,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,0,0.13
42,43,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,42,41,29,1,23790,1.0,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,0,0.12
43,44,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,43,18,7,1,38120,1.0,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,0,0.15
44,45,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,44,28,9,1,46480,0.0,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,0,0.23
45,46,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,45,31,8,1,29360,4.0,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,0,0.12
46,47,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,46,39,5,2,21050,0.0,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,0,0.2
47,48,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,47,36,5,1,85780,7.0,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,0,0.21
48,49,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,48,32,2,2,27060,1.0,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,0,0.21
49,50,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,49,38,5,3,63840,3.0,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,0,0.19
50,51,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,50,58,2,2,39680,2.0,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,0,0.13
51,52,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,51,31,20,3,99070,0.0,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,0,0.13
52,53,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,52,31,7,2,132250,3.0,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,0,0.21
53,54,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,53,45,3,1,35400,1.0,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,0,0.13
54,55,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,54,31,16,2,28040,0.0,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,0,0.19
55,56,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,55,33,9,4,193920,6.0,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,0,0.12
56,57,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,56,39,1,1,196650,1.0,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,0,0.22
57,58,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,57,43,7,4,24390,0.0,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,0,0.15
58,59,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,58,49,1,3,73140,7.0,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,0,0.22
59,60,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,59,52,7,2,47740,2.0,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,1,0.18
60,61,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,60,27,15,3,39020,1.0,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,0,0.22
61,62,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,61,32,1,3,26620,1.0,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,0,0.11
62,63,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,62,27,13,4,28560,1.0,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,0,0.12
63,64,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,63,31,24,2,10810,4.0,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,0,0.11
64,65,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,64,32,7,2,24720,7.0,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,0,0.13
65,66,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,65,28,9,1,56730,5.0,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,1,0.14
66,67,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,66,30,13,4,41970,1.0,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,0,0.13
67,68,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,67,31,2,1,97130,1.0,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,0,0.17
68,69,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,68,39,19,1,20620,1.0,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,0,0.13
69,70,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,69,39,1,1,42840,4.0,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,1,0.17
70,71,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,70,33,4,4,47880,3.0,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,0,0.11
71,72,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,71,47,4,2,59060,4.0,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,0,0.23
72,73,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,72,43,14,5,38860,1.0,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,0,0.17
73,74,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,73,27,2,1,168230,0.0,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,0,0.17
74,75,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,74,54,1,2,29330,3.0,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,0,0.12
75,76,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,75,43,7,2,65000,8.0,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,0,0.23
76,77,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,76,45,3,1,171740,9.0,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,0,0.14
77,78,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,77,40,2,4,50330,2.0,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,0,0.14
78,79,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,78,29,29,1,23070,1.0,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,1,0.13
79,80,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,79,29,8,3,25870,0.0,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,0,0.22
80,81,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,80,30,10,2,55070,1.0,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,0,0.12
81,82,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,81,27,11,1,43930,1.0,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,0,0.18
82,83,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,82,37,1,2,133480,7.0,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,0,0.14
83,84,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,83,38,28,1,65830,0.0,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,0,0.12
84,85,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,84,31,6,3,81030,1.0,1,11.0,5,11,4,10,3.0,4.0,2.76,3,3,0,0.15
85,86,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,85,29,3,3,39780,1.0,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,0,0.11
86,87,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,86,35,16,3,25440,0.0,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,0,0.13
87,88,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,87,23,20,1,53990,1.0,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,0,0.23
88,89,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,88,41,9,1,54870,6.0,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,0,0.19
89,90,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,89,47,1,2,68340,3.0,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,0,0.16
90,91,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,90,42,3,1,10910,2.0,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,0,0.22
91,92,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,91,29,22,2,57360,1.0,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,0,0.22
92,93,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,92,42,7,3,22260,0.0,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,0,0.12
93,94,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,93,32,2,2,57470,1.0,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,0,0.13
94,95,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,94,48,13,4,98540,3.0,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,0,0.16
95,96,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,95,37,8,2,54670,4.0,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,0,0.12
96,97,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,96,30,25,1,53800,7.0,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,0,0.21
97,98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,97,26,28,5,51510,1.0,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,0,0.15
98,99,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,98,42,2,1,21330,3.0,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,0,0.13
99,100,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,99,21,9,4,178750,1.0,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,1,0.12
100,101,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,100,36,28,2,24320,4.0,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,0,0.22
101,102,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,101,36,6,2,47710,4.0,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,0,0.13
102,103,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,102,57,21,5,191610,2.0,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,0,0.18
103,104,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,103,40,8,2,50870,3.0,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,0,0.14
104,105,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,104,21,1,2,28630,1.0,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,0,0.14
105,106,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,105,33,28,5,55610,1.0,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,1,0.21
106,107,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,106,37,5,4,21440,6.0,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,0,0.19
107,108,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,107,46,2,2,30650,2.0,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,0,0.11
108,109,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,108,41,16,1,28100,1.0,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,1,0.11
109,110,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,109,50,9,3,98880,6.0,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,0,0.15
110,111,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,110,40,8,1,86280,2.0,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,1,0.2
